Archetype,Scientific Name (PISCES),Overall Sustainability Scores,Average Sustainability Score by Archetype,Score: Overall Sustainability,Sustainability Mean,Sustainability Score Min,Sustainability Score Max,GHG Estimates (kg CO2-eq per kg),Average GHG Emissions by Archetype (kg CO2-eq),Score:  GHG Emissions,GHG Mean,GHG Average Min,GHG Average Max,Edible Coefficients,Average Edible Coefficient by Archetype,Score: Edible Coefficient,Edible Coefficient Mean,Edible Coefficient Min,Edible Coefficient Max,Max Number of Individuals Estimate (millions),Score: Max Number of Individuals (Log),Individuals Mean,Max Number Individuals Min,Max Number of Individuals Max,Linear Score: Max Number of Individuals,Mercury Measurements (ppm),Average Mercury Concentration by Archetype (ppm),Score: Mercury Concentration,Score: U.S. Retail Sales (Log),"Mercury Levels, FDA",Mercury Mean,Mercury Min,Mercury Max,Retail Score Mean,Imputed Score: U.S. Retail Sales (Log),U.S.Menu Prevalence,Score: U.S. Menu Prevalence,Menu Prevalence by Archetype,U.S. Menu Prevalence Mean,U.S. Menu Prevalence Min,U.S. Menu Prevalence Max,Total Import Value (USD),Score: Import Value (Log),Import Value Mean,Import Value Min,Import Value Max,Linear Score: Import Value,Total Import Volume (kg),Score: Import Volume (Log),Import Volume Mean,Import Volume Min,Import Volume Max,Linear Score: Import Volume,Feed,Aquaculture?,Carnivorous?,Current Companies - Plant-Based,Current Companies - Cultivated,Species: GHG,Archetypes: U.S. Menu Prevalence,Species/Products: Imports,Species: Global Aquaculture Production Estimaes (FAO),Overall Sustainability - Seafood Watch,Species: Sustainability,Average Score,Nutrition Profiles,Cell Lines,Papers,Scoring,Volatile Profiles,Imputed Score: Mercury Concentration,Imputed Score:  GHG Emissions,Imputed Score: Overall Sustainability,Imputed Score: Max Number of Individuals (Log),Imputed Score: Edible Coefficient,Imputed Score: U.S. Menu Prevalence,Imputed Score: Import Value (Log),Imputed Score: Import Volume (Log)
Abalone,Haliotis,"6.95, 6.95, 6.95, 6.95, 6.24",6.81,0.14,3.34,1.76,7.65,,,,29.57,0.48,133.75,"0.42, 0.42, 0.42",42.0%,0.54,44.3%,11.0%,79.0%,0.0,,23114,2,900262,,,,,,,0.216,0.003,0.979,0.48,0.48,,,,16.3%,6.3%,42.8%,"$40,467,844.00",0.43,"$567,434,113.71","$568,806.00","$12,244,643,015.00",0.00,1094380,0.24,66184180,110346,1396917762,0.00,Abalone,Yes,No,,,Perlemoen abalone,,"Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Dried/Salted/Brine,Abalone Frozen,Abalone Frozen,Abalone Frozen,Abalone Frozen,Abalone Frozen,Abalone Frozen,Abalone Frozen,Abalone Frozen,Abalone Live/Fresh,Abalone Live/Fresh,Abalone Live/Fresh,Abalone Live/Fresh,Abalone Live/Fresh,Abalone Live/Fresh,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Prepared/Preserved,Abalone Products Prepared Dinners,Abalone Products Prepared Dinners",,"Abalone,Abalone,Abalone,Abalone,Abalone,Abalone,Abalone,Abalone","Abalone, Abalone, Abalone, Abalone, Abalone, Abalone, Brownlip, Abalone, Greenlip, Abalone, Roe's",0.36,"093001,093036,093071",,,Scoring,,0.22,0.2183,0.14,0.72,0.54,0.27,0.43,0.24
Jack,"Seriola quinqueradiata,Seriola rivoliana","6.91, 6.91, 6.91, 6.91, 5.73, 6.78, 6.63, 6.63, 2.76, 2.72, 2.96, 2.78, 6.63, 5.73, 2.67, 2.67, 2.67, 2.35, 2.25, 3.42, 6.63, 1.13, 1.12, 1.13, 1.79, 1.60, 1.60",4.00,0.62,3.34,1.76,7.65,"3.00, 2.95, 2.95",2.97,0.0187,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,205.9,0.36,23114,2,900262,0.00,,,,,,0.216,0.003,0.979,0.48,0.48,,,,16.3%,6.3%,42.8%,$0.00,,"$567,434,113.71","$568,806.00","$12,244,643,015.00",,0,,66184180,110346,1396917762,,Amberjack,Yes,Yes,,BlueNalu,"Japanese amberjack,California yellowtail,Almaco jack",,,"Japanese amberjack ,Amberjacks nei ,Greater amberjack ,Amberjacks nei","Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack,Amberjack","Amberjack, Almaco Jack, Amberjack, Buri, Amberjack, Greater, Amberjack, Yellowtail, Amberjack, Almaco Jack, Amberjack, Almaco Jack, Amberjack, Almaco Jack, Amberjack, Buri, Amberjack, Greater, Amberjack, Greater, Amberjack, Greater, Amberjack, Greater, Amberjack, Greater, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Buri, Amberjack, Greater, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail, Amberjack, Yellowtail",0.36,,Unnamed_jack_ESC,Tibaldi & Kaushik 2005,Scoring,,0.22,0.0187,0.62,0.36,0.51,0.27,0.69,0.68
Anchovy,Engraulis encrasicolus,"2.44, 2.44, 2.12, 2.12, 1.91, 1.91, 1.96, 2.12, 2.02, 2.02, 2.12, 2.12, 1.91, 1.91, 1.82, 1.82, 1.91, 1.91",2.03,0.95,3.34,1.76,7.65,"3.20, 0.60",1.90,0.0107,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,900261.9,1.00,23114,2,900262,1.00,0.016,0.016,0.01,0.25,Anchovy,0.216,0.003,0.979,0.48,0.25,17.6%,0.31,17.6%,16.3%,6.3%,42.8%,"$70,269,588.00",0.48,"$567,434,113.71","$568,806.00","$12,244,643,015.00",0.01,7919333,0.45,66184180,110346,1396917762,0.01,Anchovy,No,Yes,,,"European anchovy,Anchoveta",Anchovy,"Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned In Oil,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Canned Not In Oil Not > 6.8Kg,Anchovy Fresh,Anchovy Fresh,Anchovy Fresh,Anchovy Fresh,Anchovy Fresh,Anchovy Fresh,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted > 6.8Kg,Anchovy Salted In Atc Not > 6.8Kg,Anchovy Salted In Atc Not > 6.8Kg,Anchovy Salted Not In Atc Not > 6.8Kg,Anchovy Salted Not In Atc Not > 6.8Kg,Anchovy Salted Not In Atc Not > 6.8Kg,Anchovy Salted Not In Atc Not > 6.8Kg,Anchovy Salted Not In Atc Not > 6.8Kg,Anchovy Salted Not In Atc Not > 6.8Kg,Anchovy Salted Not In Atc Not > 6.8Kg","Peruvian anchovy,Japanese anchovy,European anchovy,Stolephorus anchovies nei,""Anchovies, etc. nei"",Southern African anchovy,Pacific anchoveta","Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy,Anchovy","Anchovy, European, Anchovy, European, Anchovy, Argentine, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European, Anchovy, European",0.40,,,"Giogios et al. 2013,Iglesias et al. 2010",Scoring,"Giogios_anchovy,Iglesias_anchovy",0.01,0.0107,0.95,1.00,0.51,0.31,0.48,0.45
Anglerfish,,,,,3.34,1.76,7.65,10.43,10.43,0.0747,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,0.0,,23114,2,900262,,,,,,,0.216,0.003,0.979,0.48,0.48,,,,16.3%,6.3%,42.8%,$0.00,,"$567,434,113.71","$568,806.00","$12,244,643,015.00",,0,,66184180,110346,1396917762,,Angler Fish,No,Yes,,,Blackbellied angler,,,,,,0.43,,,,Scoring,,0.22,0.0747,0.73,0.72,0.51,0.27,0.69,0.68
Arapaima,,,,,3.34,1.76,7.65,,,,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,0.0,,23114,2,900262,,,,,,,0.216,0.003,0.979,0.48,0.48,,,,16.3%,6.3%,42.8%,$0.00,,"$567,434,113.71","$568,806.00","$12,244,643,015.00",,0,,66184180,110346,1396917762,,Arapaima,Yes (Farmed Only),Yes,,,,,,,,,0.45,,,,Scoring,,0.22,0.2183,0.73,0.72,0.51,0.27,0.69,0.68
Bass/Croaker/Drum,"Dicentrarchus labrax,Pomoxis nigromaculatus,Lateolabrax japonicus,Lates calcarifer,Centropristis striata,Sciaenops ocellatus","6.91, 6.90, 7.17, 6.91, 6.63, 2.76, 6.11, 6.63, 1.73, 1.73, 6.68, 3.07, 2.68, 4.20, 3.85, 3.44, 3.71, 6.91, 6.91, 6.63, 4.55, 6.63, 2.35, 2.25, 3.42, 2.28, 2.12, 2.03",4.54,0.53,3.34,1.76,7.65,"3.50, 34.85, 3.70, 3.30, 14.20, 17.35, 22.90",14.26,0.1034,29.57,0.48,133.75,"0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49, 0.49",49.0%,0.44,44.3%,11.0%,79.0%,22404.3,0.72,23114,2,900262,0.02,"0.167, 0.354, 0.069, 0.287",0.219,0.22,0.32,"""Bass (Saltwater, Black, Striped, Rockfish)"",Bass Chilean,Croaker Atlantic (Atlantic),Croaker White (Pacific)",0.216,0.003,0.979,0.48,0.32,,,,16.3%,6.3%,42.8%,"$121,945,533.00",0.54,"$567,434,113.71","$568,806.00","$12,244,643,015.00",0.01,19398017,0.55,66184180,110346,1396917762,0.01,Bass,Yes,Yes,,,"European bass,European bass,Barramundi,Barramundi,Barramundi,Barramundi,Red drum",,"Bass Fresh,Bass Fresh,Bass Fresh,Bass Fresh,Bass Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Fresh Not > 6.8Kg,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen,Sea Bass (Dicentrarchus Spp.) Frozen","Largemouth black bass ,European seabass ,Japanese seabass ,Red drum ,""Striped bass, hybrid "",""Croakers, drums nei"",""Groupers, seabasses nei""","Bass,Bass,Bass,Bass,Bass,Bass,Bass,Bass,Bass,Bass,Drum,Drum,Drum,Redfish,Redfish,Redfish,Redfish,Redfish,Redfish,Redfish,Redfish,Redfish,Redfish,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass,Seabass","Bass, Striped, Bass, Sunshine, Bass, Sunshine, Bass, Sunshine, Bass, Sunshine, Bass, Striped, Bass, Striped, Bass, Striped, Bass, Striped, Bass, Striped, Drum, Red, Drum, Black, Drum, Black, Redfish, Acadian, Redfish, Acadian, Redfish, Acadian, Redfish, Acadian, Redfish, Golden, Redfish, Golden, Redfish, Golden, Redfish, Golden, Redfish, Golden, Redfish, Golden, Seabass, Black, Seabass, Black, Seabass, Black, Seabass, Black, Seabass, Black, Seabass, European, Seabass, Black, Seabass, European, Seabass, European, Seabass, White, Seabass, White, Seabass, White, Seabass, Black, Seabass, Giant, Seabass, Giant",0.37,"091183,091056,091122,091244,091057,091245,091184,091123,091058,091185,091246,091124","LJES1,SBES,DLEC,BM,BSB,Unnamed_redfish_ESC","Josephson et al. 1984,Leduc et al. 2012,Chen et al. 2003b,Parameswaran et al. 2007b,Buonocore et al. 2006,Buonocore et al. 2011,Picchietti et al. 2017,Casani et al. 2009,Papa et al. 1997,Sato et al. 1986,Rocco et al. 2014,Tibaldi & Kaushik 2005,Lai et al. 2008,Priester et al. 2011,Rocco et al. 2015,Jerbi et al. 2012,Abdou et al. 2017,Yan et al. 2011,Wang et al. 2009,Cheng et al. 2012,Chary et al. 2020",Scoring,Josephson_crappie,0.22,0.1034,0.53,0.72,0.44,0.27,0.54,0.55
Billfish (including marlin and swordfish),"Kajikia albida,Istiompax indica,Makaira nigricans,Kajikia audax,Xiphias gladius","2.73, 2.73, 2.89, 2.89, 3.00, 0.00, 1.79, 1.79, 0.00, 1.96, 1.96, 0.00, 1.89, 2.34, 1.53, 4.55, 4.27, 4.51, 4.81, 3.61, 3.61, 2.73, 3.05, 3.05, 2.66, 2.66, 3.17, 3.16, 2.66, 2.66, 2.02, 2.46, 1.33, 2.02, 1.33, 2.02, 0.00, 0.00, 1.33, 1.33, 2.02, 2.12",2.30,0.91,3.34,1.76,7.65,56.10,56.10,0.4173,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,3.6,0.05,23114,2,900262,0.00,"0.485, 0.995",0.740,0.76,0.41,"Marlin,Swordfish",0.216,0.003,0.979,0.48,0.41,,,,16.3%,6.3%,42.8%,"$165,557,187.00",0.57,"$567,434,113.71","$568,806.00","$12,244,643,015.00",0.01,22139560,0.56,66184180,110346,1396917762,0.02,Billfish (including marlin and swordfish),No,Yes,,,Swordfish,,"Swordfish Fillet Fresh,Swordfish Fillet Fresh,Swordfish Fillet Fresh,Swordfish Fillet Fresh,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fillet Frozen,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Fresh,Swordfish Frozen,Swordfish Frozen,Swordfish Frozen,Swordfish Meat Fresh,Swordfish Meat Frozen > 6.8Kg,Swordfish Meat Frozen > 6.8Kg,Swordfish Meat Frozen > 6.8Kg,Swordfish Meat Frozen > 6.8Kg,Swordfish Meat Frozen > 6.8Kg,Swordfish Meat Frozen > 6.8Kg,Swordfish Meat Frozen > 6.8Kg,Swordfish Meat Frozen Not > 6.8Kg,Swordfish Steaks Fresh,Swordfish Steaks Fresh,Swordfish Steaks Fresh,Swordfish Steaks Frozen,Swordfish Steaks Frozen,Swordfish Steaks Frozen,Swordfish Steaks Frozen,Swordfish Steaks Frozen,Swordfish Steaks Frozen,Swordfish Steaks Frozen,Swordfish Steaks Frozen,Swordfish Steaks Frozen",Swordfish,"Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Marlin,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish,Swordfish","Marlin, Black, Marlin, Black, Marlin, Blue, Marlin, Blue, Marlin, Striped, Marlin, Black, Marlin, Black, Marlin, Black, Marlin, Blue, Marlin, Blue, Marlin, Blue, Marlin, Striped, Marlin, Striped, Marlin, Striped, Marlin, Striped, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish, Swordfish",0.53,,,"Coulter et al. 2020,Morita et al. 2003",Scoring,Morita_swordfish,0.76,0.4173,0.91,0.05,0.51,0.27,0.57,0.56
Bluefish,,"4.31, 2.52, 2.60",3.14,0.76,3.34,1.76,7.65,,,,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,0.0,,23114,2,900262,,0.368,0.368,0.37,,Bluefish,0.216,0.003,0.979,0.48,0.48,,,,16.3%,6.3%,42.8%,$0.00,,"$567,434,113.71","$568,806.00","$12,244,643,015.00",,0,,66184180,110346,1396917762,,Bluefish,No,Yes,,,,,,,"Bluefish,Bluefish,Bluefish","Bluefish, Bluefish, Bluefish",0.49,,,,Scoring,,0.37,0.2183,0.76,0.72,0.51,0.27,0.69,0.68
Blowfin,,,,,3.34,1.76,7.65,,,,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,0.0,,23114,2,900262,,,,,,,0.216,0.003,0.979,0.48,0.48,,,,16.3%,6.3%,42.8%,$0.00,,"$567,434,113.71","$568,806.00","$12,244,643,015.00",,0,,66184180,110346,1396917762,,Blowfin,No,Yes,,,,,,,,,0.45,,,,Scoring,,0.22,0.2183,0.73,0.72,0.51,0.27,0.69,0.68
Butterfish,,"2.37, 2.37, 2.66, 2.66, 1.83, 1.83",2.29,0.91,3.34,1.76,7.65,,,,29.57,0.48,133.75,,,,44.3%,11.0%,79.0%,0.0,,23114,2,900262,,0.058,0.058,0.06,,Butterfish,0.216,0.003,0.979,0.48,0.48,,,,16.3%,6.3%,42.8%,"$6,911,450.00",0.25,"$567,434,113.71","$568,806.00","$12,244,643,015.00",0.00,2173020,0.32,66184180,110346,1396917762,0.00,Butterfish,No,Yes,,,,,"Butterfish Frozen,Butterfish Frozen,Butterfish Frozen,Butterfish Frozen,Butterfish Frozen,Butterfish Frozen,Butterfish Frozen,Butterfish Frozen,Butterfish Frozen",,"Butterfish,Butterfish,Butterfish,Butterfish,Butterfish,Butterfish","Butterfish, Antarctic, Butterfish, Antarctic, Butterfish, Antarctic, Butterfish, Antarctic, Butterfish, Antarctic, Butterfish, Antarctic",0.39,,,,Scoring,,0.06,0.2183,0.91,0.72,0.51,0.27,0.25,0.32
