Archetype,Scientific Name (from Species) 2,Overall Sustainability Score,GHG Emissions - kg CO2 equivalent per kg,Edible Portion,Mercury Content,Quintile - U.S. Retail Sales (2019),Foodservice menu prominence -2019,Import Value to U.S. (Total 2018-2019),Aquaculture?,Carnivorous?,Current Companies - Plant-Based,Current Companies - Cultivated,Greenhouse Gas Emissions by Paper 2,Archetype (from Greenhouse Gas Emissions by Paper 2),Status,"Mercury Concentration, Mean (PPM)"
Abalone,Haliotis,6.808,,42.0,,,,"$40,467,844.00",,,,,,,,
Amberjack,Seriola quinqueradiata,4,2.98,53.0,,,,,,,,BlueNalu,,,,
Anchovy ,Engraulis encrasicolus,2.032,,62.0,0.016,1,17.6%,"$70,269,588.00",,,,,,,,
Angler Fish,,2.2795,10.43,,,,,,,,,,,,,
Arapaima,,,4.55,,,,,,,,,,,,,
Bass,"Dicentrarchus labrax,Pomoxis nigromaculatus,Lateolabrax japonicus,Lates calcarifer,Centropristis striata",4.72,13.14,,0.167,2,,"$13,012,812.00",,,,,,,,
Billfish (including marlin and swordfish),"Kajikia albida,Istiompax indica,Makaira nigricans,Kajikia audax,Xiphias gladius",2.302,,,0.74,3,,,,,,,,,,
Bluefish,,3.14,,,0.368,,,,,,,,,,,0.368
Blowfin,,2.871,,,,,,,,,,,,,,
Butterfish,,2.399,,,0.058,,,"$6,911,450.00",,,,,,,,0.058
Carp,"Cyprinus carpio,Tinca tinca,Gibelion catla,Labeo rohita",3.295,6.93,54.0,0.11,,,"$2,224,987.00",,,,,,,,0.11
Catfish,"Pangasianodon hypophthalmus,Ictalurus punctatus,Clarias gariepinus,Clarias macrocephalus,Clarias batrachus,Clarias,Kryptopterus bicirrhis,Heteropneustes fossilis,Wallago attu,Clarias dussumueri,Clarias magur,Ameiurus nebulosus,Ameiurus melas",4.952,9.63,48.0,0.024,4,7.1%,"$897,365,697.00",,,,,,,,0.024
Caviar,,,,,,1,,"$77,561,477.00",,,CaviArt ,,,,,
Clam,"Veneridae,Chamelea gallina,Rangia cuneata",5.49,,25.1,0.009,4,21.4%,"$150,020,345.00",,,,,,,,0.009
Cobia,,4.58,8.00,,,,,"$8,489,435.00",,,,,,,,
Cockles,,6,,,,,,,,,,,,,,
Cod,"Gadus morhua,Gadus macrocephalus",1.98,,44.0,0.111,5,14.0%,"$29,403,172.00",,,,,,,,0.111
Conchs,"Strombidae,Strombus galeatus",2.59,,66.6,,1,,"$51,244,674.00",,,,,,,,
Crab,"Cancridae,Cancer magister,Cancer pagurus,Chionoecetes,Portunidae,Callinectes sapidus,Portunus pelagicus,Scylla serrata,Lithodidae,Paralithodes camtschaticus,Eriocheir sinensis,Ucides cordatus",1.755,,22.1,0.065,5,34.3%,"$2,729,465,602.00",,,"Sophie's Kitchen, Good Catch, Gardein, Prime Roots*, The Plant Based Seafood Co.",,,,,0.065
Crayfish,"Astacidae,Cambaridae,Parastacidae,Procambarus clarkii",4.88,,12.0,0.033,3,,,,,,,,,,
Cuttlefish,"Sepiidae,Sepia officinalis",,6.39,,,,,"$48,327,757.00",,,,,,,,
Dolphinfish (including mahi mahi) ,Coryphaena hippurus,2.29,,78.0,0.178,2,,"$412,184,080.00",,,,BlueNalu,,,,
Eels,"Anguilla japonica,Conger myriaster,Carapus acus,Anguilla rostrata,Anguilla anguilla",2.424,3.88,,,,,"$151,358,586.00",,,Ocean Hugger Foods,,,,,
Elephantfish,Gnathonemus petersii,,,,,,,,,,,,,,,
"Flatfish (halibut, flounder, etc.)","Scophthalmus maximus,Paralichthys olivaceus,Pseudopleuronectes yokohamae,Kareius bicoloratus,Microstmus achne",3.859,20.40,49.0,0.056,4,,"$581,243,422.00",,,,,,,,
Grouper,"Epinephelus akaara,Epinephelus coioides",2.09,,33.0,0.448,1,,"$114,178,404.00",,,,,,,,
Haddock,Melanogrammus aeglefinus,2.58,,48.0,0.055,3,,,,,,,,,,
Hake,"Merluccius merluccius,Merluccius capensis",2.61,,53.0,0.079,,,,,,,,,,,0.079
Herring,"Clupea harengus,Spratelloides gracilis",3.33,,56.3,0.078,2,,"$96,349,542.00",,,,,,,,0.078
Krill,,3.195,,,,,,"$21,045,154.00",,,,,,,,
Lingcod,Rachycentron,3.04,,,,,,"$828,863.00",,,,,,,,
Lobster,"Nephropidae,Homarus americanus,Homarus gammarus,Nephrops norvegicus,Palinuridae,Jasus edwardsii,Panulirus argus",2.07,,,0.122,4,19.7%,"$2,887,976,781.00",,,Prime Roots,Shiok Meats,,,,
Mackerel,"Trachurus trachurus,Trachurus japonicus,Scomber japonicus,Sarda sarda,Scomber scombrus",3.53,,44.8,0.3008,1,,"$136,941,372.00",,,,,,,,
Minnows and killifish,"Danio rerio,Fundulus heteroclitus,Pimephales promelas,Austrofundulus limnaeus",,2.30,54.0,,,,,,,,,,,,
Monkfish,,,4.45,,0.161,,,"$721,247.00",,,,,,,,0.161
Mullet,"Mullus barbatus,Mugil cephalus cephalus",2.86,,50.0,0.05,,,"$1,141,239.00",,,,,,,,0.05
