Archetype,Scientific Name (from Species) 2,Score: Overall Sustainability,Score:  Greenhouse Gas Emissions,Score: Edible Coefficient,Score: Mercury Concentration,Score: Max Number of Individuals (Log),Score: U.S. Retail Sales (Log),Score: U.S. Menu Prevalence,Score: Import Value (Log),Score: Import Volume (Log),Average Score
Sunfish/Opah,,0.98,,,,,,,,,0.98
Triggerfish,,0.96,,,,,,,,,0.96
Tuna (Not Specified),,,,,,,0.89,,0.85,0.88,0.87
Shrimp/Prawn,"Penaeus monodon,Macrobrachium,Macrobrachium rosenbergii,Macrobrachium malcolmsonii,Crangon crangon,Pandalus hypsinotus,Pandalus borealis,Pandalus,Penaeidae,Metapenaeus endeavouri,Metapenaeus macleayi,Metapenaeus monoceros,Penaeus esculentus,Penaeus latisulcatus,Penaeus merguiensis,Penaeus merguiensis,Penaeus semisulcatus,Litopenaeus vannamei,Sergestidae,Palaemonidae,Mesopodopsis orientalis,Acetes indicus,Acetes,Pleoticus muelleri,Parapenaeus longirostris,Melicertus plebejus,Haliporoides sibogae,Parapenaeus australiensis,Plesionika martia,Litopenaeus stylirostris,Penaeus chinensis,Marsupenaeus japonicus,Penaeus penicillatus,Farfantepenaeus californiensis",0.76,0.48,,,,1.00,,1.00,1.00,0.85
Tilefish,,0.77,,,,,,,,,0.77
Crab,"Cancridae,Cancer magister,Cancer pagurus,Chionoecetes,Portunidae,Callinectes sapidus,Portunus pelagicus,Scylla serrata,Lithodidae,Paralithodes camtschaticus,Eriocheir sinensis,Ucides cordatus",1.00,0.84,0.85,0.058,,0.81,0.77,0.90,0.80,0.75
Lobster,"Nephropidae,Homarus americanus,Homarus gammarus,Nephrops norvegicus,Palinuridae,Jasus edwardsii,Panulirus argus",0.95,0.93,0.67,,,0.63,0.37,0.86,0.73,0.73
Toothfish,,0.95,,,,,,,0.66,0.53,0.71
Salmon,"Salmo salar,Salmo trutta,Oncorhynchus gorbuscha,Oncorhynchus nerka,Oncorhynchus tshawytscha,Oncorhynchus masou masou,Oncorhynchus kisutch,Oncorhynchus keta,Oncorhynchus mykiss",0.69,0.14,0.18,,0.54,0.96,1.00,0.96,0.94,0.68
Dolphinfish (including mahi mahi) ,Coryphaena hippurus,0.91,,,,,0.37,,0.66,0.63,0.64
Tuna (Albacore/Skipjack),"Thunnus alalunga,Katsuwonus pelamis,Euthynnus alletteratus",0.81,0.18,,,,0.87,,0.66,0.68,0.64
"Flatfish (halibut, flounder, etc.)","Scophthalmus maximus,Paralichthys olivaceus,Pseudopleuronectes yokohamae,Kareius bicoloratus,Microstmus achne",0.86,0.54,,,0.42,0.57,,0.67,0.65,0.62
Crayfish,"Astacidae,Cambaridae,Parastacidae,Procambarus clarkii",0.47,,1.00,,,0.44,,0.56,0.51,0.60
Sea Cucumber,,0.79,0.76,,,,,,0.43,0.37,0.59
Haddock,Melanogrammus aeglefinus,0.86,0.30,,,,0.46,,0.64,0.66,0.58
Scallops,"Pectinidae,Pecten maximus",0.00,0.60,0.98,,,0.60,,0.67,0.62,0.58
Billfish (including marlin and swordfish),"Kajikia albida,Istiompax indica,Makaira nigricans,Kajikia audax,Xiphias gladius",0.91,0.42,,,,0.41,,0.57,0.56,0.57
Sardines,"Sardinops sagax,Sardina pilchardus",0.97,0.01,,,,0.52,,0.62,0.71,0.57
Tuna (Bluefin/Bigeye/Yellowfin),"Thunnus maccoyii,Thunnus albacares,Thunnus obesus,Thunnus thynnus,Thunnus orientalis",0.91,0.18,,,0.22,0.58,,0.69,0.65,0.54
Cod,"Gadus morhua,Gadus macrocephalus",0.96,0.15,0.69,0.105,,0.66,0.21,0.76,0.76,0.54
Eels,"Anguilla japonica,Conger myriaster,Carapus acus,Anguilla rostrata,Anguilla anguilla",0.89,0.03,,,0.72,,,0.56,0.49,0.54
Orange Roughy,,0.98,,,0.579,,0.18,,0.43,0.38,0.51
Sea Urchin,Paracentrotus lividus,0.75,,,,,,,0.42,0.36,0.51
Sole,"Solea senegalensis,Eopsetta jordani,Solea solea",0.41,1.00,,,0.04,,,0.53,0.56,0.51
Oysters,"Crassostrea gigas,Crassostrea,Crassostrea rhizophorae,Ostrea edulis",0.35,0.52,,,,0.49,,0.57,0.57,0.50
Smelts,"Atherina boyeri,Plecoglossus altivelis,Glossanodon semifasciatus,Hypomesus nipponensis",0.80,,,,0.29,,,0.38,0.51,0.50
Shark,"Squalus acanthias,Triakis scyllium,Scyliorhinus canicula,Prionace glauca,Scoliodon laticaudus",0.97,,,1.000,,,,0.00,0.00,0.49
Tilapia,"Oreochromis niloticus,Oreochromis aureus",0.43,0.04,0.64,0.004,0.84,0.72,0.10,0.77,0.86,0.49
Trout,"Oncorhynchus mykiss,Salmo trutta",0.64,0.04,0.25,,0.72,0.46,,0.64,0.60,0.48
Grouper,"Epinephelus akaara,Epinephelus coioides",0.94,0.17,,,0.47,0.20,,0.53,0.52,0.47
Octopus,"Octopus vulgaris,Octopodidae",0.90,0.61,,,,0.28,0.08,,,0.47
Catfish,"Pangasianodon hypophthalmus,Ictalurus punctatus,Clarias gariepinus,Clarias macrocephalus,Clarias batrachus,Clarias,Kryptopterus bicirrhis,Heteropneustes fossilis,Wallago attu,Clarias dussumueri,Clarias magur,Ameiurus nebulosus,Ameiurus melas",0.46,0.07,0.53,0.015,0.83,0.65,0.02,0.74,0.80,0.46
Pollock,,0.90,0.09,,0.023,,0.41,,0.59,0.69,0.45
Hake,"Merluccius merluccius,Merluccius capensis",0.87,0.34,,0.072,,,,0.43,0.52,0.45
Krill,,0.76,0.18,,,,,,0.36,0.48,0.45
Perch and other perciforms,"Lepomis macrochirus,Pomoxis nigromaculatus,Perca flavescens,Sander canadensis,Sebastes norvegicus,Perca fluviatilis,Oplegnathus fasciatus,Etroplus suratensis,Anarhichas minor",0.65,0.13,,,0.63,0.25,,0.50,0.51,0.44
Conchs,"Strombidae,Strombus galeatus",0.86,,,,,0.00,,0.48,0.39,0.43
Bluefish,,0.76,,,0.370,0.15,,,,,0.43
